NO.,DESCRIPTION ,PROJECT,UNIT,HARGA , SUPPLIER
93,"SKUN Y 1,25 - 3,5",067/26,PAK,"Rp17,000", BORNEO/OMEGA
94,"SKUN Y 2-4,5",067/26,PAK,"Rp20,000", BORNEO/OMEGA
95,KABEL TIES 200,067/26,PAK,"Rp25,000", BORNEO/OMEGA
96,KERTAS A4  - 70 - COPYPAPPER,UPE - OFFICE,RIM,"Rp38,000", LOTUS
97,CAT FTALIT MILKY WHITE,ITP - PINTU UNPACKING,KLG,"Rp82,000", INDAH JAYA
98,COUPLER MALE - DRAT BAWA SAMPLE,UPE - PAINTING,PCS,"Rp10,000", BORNEO/HOKI
99,MATERAI 10.000,UPE - OFFICE,PCS,"Rp11,000", LOTUS
100,"CARBON BRUSH MC CUTTING WHEEL 14""",UPE - CUTTING TOOLS,SET,"Rp40,000", BORNEO
101,CONTACTIP LAS CO2 - ⌀0.8 - PANJANG,UPE - CUTTING TOOLS,PCS,"Rp10,000", BORNEO
102,"SARUNG TANGAN ABU""",UPE - CUTTING TOOLS,LSN,"Rp19,000", BORNEO
103,"CUTTING 4"" STEEL",UPE - CUTTING TOOLS,PCS,"Rp2,500", BORNEO
